id,geoid,name,var1,var2,var3,var4,var5
1,14000US30111001300,13,90,6,2,1,0
2,14000US30111001702,17.02,88,7,1,0,2
3,14000US30111000704,7.04,92,4,3,0,0
4,14000US30111000902,9.02,78,14,2,0,4
5,14000US30111000200,2,69,12,7,2,7
6,14000US30111000702,7.02,85,12,2,0,1
7,14000US30111001801,18.01,85,10,1,0,0
8,14000US30111001802,18.02,82,8,1,2,3
9,14000US30111000701,7.01,86,10,2,0,2
10,14000US30111000901,9.01,81,11,0,0,5
11,14000US30111001100,11,81,8,1,1,8
12,14000US30111000800,8,83,11,3,1,0
13,14000US30111000500,5,70,14,6,4,5
14,14000US30111000600,6,77,6,2,3,7
15,14000US30111001000,10,85,6,1,2,2
16,14000US30111001200,12,92,2,3,1,2
17,14000US30111001803,18.03,88,4,3,1,4
18,14000US30111001804,18.04,91,4,2,0,2
19,14000US30111000300,3,75,7,4,5,6
20,14000US30111000706,7.06,92,2,4,1,2
21,14000US30111000402,4.02,73,3,1,2,16
22,14000US30111000705,7.05,88,7,2,1,0
23,14000US30111000401,4.01,86,5,1,0,7
24,14000US30111001401,14.01,83,9,2,1,2
25,14000US30111001902,19.02,78,15,2,0,3
26,14000US30111001901,19.01,85,9,1,1,1
27,14000US30111001703,17.03,88,11,0,0,0
28,14000US30111940000,9400,88,6,1,0,3
29,14000US30111001402,14.02,90,5,3,0,0
30,14000US30111001502,15.02,79,11,3,0,3
31,14000US30111001501,15.01,90,9,1,0,0
32,14000US30111001704,17.04,81,14,1,0,4
